date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;StuN;NightMare;0;1;1;B;0
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;StuN;Has;0;2;3;B;0
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;StuN;SmallGoe;2;0;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;StuN;CoCa;1;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;StuN;Percival;1;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;StuN;HwaRanG;2;0;3;B;1
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;NightMare;StuN;1;0;1;B;1
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;Has;StuN;2;0;3;B;1
2021-07-09;Qual. (B);BlazingSeries:Reality S7 Promotion Day 1;SmallGoe;StuN;0;2;3;B;0
2020-09-03;B-Tier;SC2 Korean Hopefuls;CoCa;StuN;2;1;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;Percival;StuN;2;1;3;B;1
2020-09-03;B-Tier;SC2 Korean Hopefuls;HwaRanG;StuN;0;2;3;B;0
