date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-02-08;C-Tier;HyperONE Power Rankings #4 - Playoffs;MrLEz;Meven;0;1;1;C;0
2025-02-04;C-Tier;HyperONE Power Rankings #4 - Group A;MrLEz;Jacky;0;2;3;C;0
2025-01-08;C-Tier;HyperONE Power Rankings #4 - Group A;MrLEz;Nomad;0;1;1;C;0
2025-01-08;C-Tier;HyperONE Power Rankings #4 - Group A;MrLEz;Meven;0;1;1;C;0
2024-12-30;C-Tier;HyperONE Power Rankings #4 - Group A;MrLEz;HonMonO;0;2;3;C;0
2024-11-30;C-Tier;November Ranked #14;MrLEz;Shameless;0;2;3;C;0
2024-11-24;C-Tier;HyperONE Power Rankings #4 - Group A;MrLEz;Michnek;2;0;3;C;1
2024-11-23;C-Tier;HyperONE Power Rankings #4 - Group A;MrLEz;HyperONE;2;0;3;C;1
2024-11-08;B-Tier;November Ranked #1;MrLEz;TossTerr;0;1;1;B;0
2024-11-08;B-Tier;November Ranked #1;MrLEz;iosup;1;0;1;B;1
2024-09-22;C-Tier;West Division Q4;MrLEz;Antlko;0;2;3;C;0
2024-09-22;C-Tier;West Division Q4;MrLEz;Xlebuwek;1;2;3;C;0
2024-09-22;C-Tier;West Division Q4;MrLEz;Maxwel;2;0;3;C;1
2024-09-21;C-Tier;PORT Volga S1 Qualifier #2;MrLEz;Xlebuwek;2;3;5;C;0
2024-09-21;C-Tier;PORT Volga S1 Qualifier #2;MrLEz;TimReiner;2;1;3;C;1
2024-09-21;C-Tier;PORT Volga S1 Qualifier #2;MrLEz;Xlebuwek;2;1;3;C;1
2024-09-18;C-Tier;West Division Q3;MrLEz;Makek;1;2;3;C;0
2024-09-18;C-Tier;West Division Q3;MrLEz;Erbest;2;1;3;C;1
2024-09-18;C-Tier;West Division Q3;MrLEz;Makek;1;2;3;C;0
2024-09-07;C-Tier;West Division Q2;MrLEz;TossTerr;1;2;3;C;0
2024-08-31;C-Tier;PORT Volga S2 #3;MrLEz;MasterVasya;0;3;5;C;0
2024-08-31;C-Tier;PORT Volga S2 #3;MrLEz;RARKA;2;0;3;C;1
2024-08-01;B-Tier;PORT Volga and Ural Season 2;MrLEz;UltraMarine;0;2;3;B;0
2024-08-01;B-Tier;PORT Volga and Ural Season 2;MrLEz;RARKA;0;2;3;B;0
2024-07-28;B-Tier;PORT Volga S2 #2;MrLEz;MasterVasya;2;3;5;B;0
2024-07-28;B-Tier;PORT Volga S2 #2;MrLEz;HateCheese;2;0;3;B;1
2024-07-01;Week. (B);ESL Open Cup #234 Europe;MrLEz;SKillous;0;2;3;B;0
2024-06-22;B-Tier;PORT Volga S2 #1;MrLEz;DarKhan;3;2;5;B;1
2024-06-22;B-Tier;PORT Volga S2 #1;MrLEz;Ashbringer;2;0;3;B;1
2024-06-15;B-Tier;Redragon KMA ESF - Group A;MrLEz;Shameless;0;2;3;B;0
2024-06-15;B-Tier;Redragon KMA ESF - Group A;MrLEz;Strange;1;0;1;B;1
