date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-02-14;B-Tier;2zerg1cup;Spy;zesty;0;2;3;B;0
2021-02-13;Mon. (B);Alpha X Junior Championships 2021 Season 1 - Group B;Spy;SlyCrab;2;3;5;B;0
2021-02-13;Mon. (B);Alpha X Junior Championships 2021 Season 1 - Group B;Spy;PAPI;0;2;3;B;0
2021-02-13;Mon. (B);Alpha X Junior Championships 2021 Season 1 - Group B;Spy;SlyCrab;2;1;3;B;1
2021-01-31;Biw. (C);The Pizza Pie: Season 5 - Cup #2;Spy;goblin;0;2;3;C;0
2021-01-11;Week. (B);ESL Open Cup #53 Americas;Spy;Solar;0;2;3;B;0
2020-12-21;Week. (B);ESL Open Cup #50 Americas;Spy;PartinG;0;2;3;B;0
2020-11-30;Week. (B);ESL Open Cup #47 Americas;Spy;Zest;0;2;3;B;0
2020-11-26;Qual. (B);OSC 2020 Super Series, Mid Season Playoffs #3: eXoN Cup Open Qualifier;Spy;Vanya;0;2;3;B;0
2020-11-26;Qual. (B);OSC 2020 Super Series, Mid Season Playoffs #3: eXoN Cup Open Qualifier;Spy;Ryan;1;3;5;B;0
2020-11-18;Week. (B);eXoN Cup Open #19;Spy;Hellraiser;0;2;3;B;0
2020-11-15;C-Tier;The Drunk Canadian Classic #2;Spy;Killermonjas;0;1;1;C;0
2020-11-15;C-Tier;The Drunk Canadian Classic #2;Spy;starkiller;0;2;3;C;0
2020-11-09;Week. (B);ESL Open Cup #44 Europe;Spy;Bly;0;2;3;B;0
2020-11-04;C-Tier;The Drunk Canadian Classic #1;Spy;CriMsoN;0;2;3;C;0
2020-11-04;C-Tier;The Drunk Canadian Classic #1;Spy;starkiller;2;1;3;C;1
2020-11-04;C-Tier;The Drunk Canadian Classic #1;Spy;CriMsoN;0;2;3;C;0
2020-11-04;Week. (C);eXoN Cup Open #17;Spy;Cham;0;2;3;C;0
2020-11-01;Week. (C);PassionCraft Sunday Showdown #34;Spy;Killermonjas;1;2;3;C;0
2020-10-30;Week. (C);IndyK Crew Weekly Cup #36;Spy;Marsman;1;2;3;C;0
2020-10-27;Week. (C);OSC Matiz Open #7;Spy;Marsman;0;2;3;C;0
2020-10-27;Week. (C);OSC Matiz Open #7;Spy;BYE;1;0;1;C;1
2020-10-26;Week. (B);ESL Open Cup #42 Americas;Spy;Armani;0;2;3;B;0
2020-10-19;Week. (B);ESL Open Cup #41 Americas;Spy;Nitix;1;2;3;B;0
2020-10-18;Mon. (C);Alpha X Junior Championships Season 10 - Group B;Spy;BabyMarine;0;2;3;C;0
2020-10-18;Mon. (C);Alpha X Junior Championships Season 10 - Group B;Spy;Exostriker;1;2;3;C;0
2020-10-04;Biw. (C);The Pizza Pie: Season 4 - Cup #5;Spy;starkiller;0;2;3;C;0
2020-09-30;Week. (C);eXoN Cup Open #12;Spy;Ruiyichi;0;2;3;C;0
2020-09-23;Week. (C);eXoN Cup Open #11;Spy;Vanya;0;2;3;C;0
2020-09-23;Week. (C);eXoN Cup Open #11;Spy;blast;2;0;3;C;1
2020-09-20;Biw. (C);The Pizza Pie: Season 4 - Cup #4;Spy;starkiller;0;2;3;C;0
2020-09-20;Biw. (C);The Pizza Pie: Season 4 - Cup #4;Spy;NasisNazty;2;0;3;C;1
2020-09-18;Biw. (C);2020 NA Apprentice Cup #18;Spy;Ukko;0;2;3;C;0
2020-09-18;Biw. (C);2020 NA Apprentice Cup #18;Spy;Skyler;1;0;1;C;1
2020-09-15;Week. (C);OSC Matiz Open #2;Spy;Garitos;1;2;3;C;0
2020-09-09;Week. (B);eXoN Cup Open #9;Spy;Vindicta;0;2;3;B;0
2020-09-09;Week. (B);eXoN Cup Open #9;Spy;BYE;1;0;1;B;1
2020-09-02;Week. (C);eXoN Cup Open #8;Spy;Ryan;0;2;3;C;0
2020-08-27;Week. (C);Shyrshadi Open #28;Spy;starkiller;0;2;3;C;0
2020-08-23;Biw. (C);The Pizza Pie: Season 4 - Cup #2;Spy;Astrea;0;2;3;C;0
2020-08-15;Mon. (C);Alpha X Junior Championships Season 9 - Group B;Spy;Ghosti;1;3;5;C;0
2020-08-15;Mon. (C);Alpha X Junior Championships Season 9 - Group B;Spy;Exostriker;0;2;3;C;0
2020-08-15;Mon. (C);Alpha X Junior Championships Season 9 - Group B;Spy;Ghosti;2;1;3;C;1
2020-08-09;Biw. (C);The Pizza Pie: Season 4 - Cup #1;Spy;starkiller;1;2;3;C;0
2020-08-06;Biw. (C);eXoN Cup Open #6;Spy;Ryan;0;2;3;C;0
2020-08-05;Biw. (C);eXoN Cup Open #6;Spy;Nina;1;2;3;C;0
2020-08-05;Biw. (C);eXoN Cup Open #6;Spy;YoungYakov;1;0;1;C;1
2020-08-05;Biw. (C);eXoN Cup Open #6;Spy;Nicoract;1;0;1;C;1
2020-07-30;Week. (C);Cock of the Walk #21;Spy;Ziomek;0;2;3;C;0
2020-07-25;Mon. (C);Alpha X Junior Championships Season 8 - Group B;Spy;Exostriker;0;2;3;C;0
2020-07-25;Mon. (C);Alpha X Junior Championships Season 8 - Group B;Spy;BabyMarine;0;2;3;C;0
2020-07-22;Biw. (B);eXoN Cup Open #5;Spy;Ruiyichi;0;2;3;B;0
2020-07-04;Week. (B);Masters Cup 139;Spy;PattyMac;1;2;3;B;0
2020-06-24;Biw. (C);eXoN Cup Open #3;Spy;kiwian;0;2;3;C;0
2020-06-20;Mon. (B);Alpha X Junior Championships Season 7 - Group A;Spy;BabyMarine;0;2;3;B;0
2020-06-20;Mon. (B);Alpha X Junior Championships Season 7 - Group A;Spy;Arrogfire;0;2;3;B;0
2020-06-15;Week. (B);ESL Open Cup #23 Americas;Spy;YanXII;0;2;3;B;0
2020-06-13;Biw. (C);eXoN Cup Open #2;Spy;kiwian;0;2;3;C;0
2020-06-12;Biw. (C);2020 NA Apprentice Cup #11;Spy;Silky;1;2;3;C;0
2020-06-04;Week. (C);Cock of the Walk #14;Spy;Kas;0;2;3;C;0
2020-05-23;Mon. (B);Alpha X Junior Championships Season 6 - Group B;Spy;BabyMarine;0;2;3;B;0
2020-05-23;Mon. (B);Alpha X Junior Championships Season 6 - Group B;Spy;WannaBeByuN;0;2;3;B;0
2020-05-23;Mon. (B);Alpha X Junior Championships Season 6 - Group B;Spy;Exostriker;2;0;3;B;1
2020-04-26;Week. (C);SC2 ONLINE Community Open #140;Spy;Cham;0;2;3;C;0
2020-03-29;Week. (C);SC2 ONLINE Community Open #137;Spy;Marsman;0;1;1;C;0
2020-03-29;Week. (C);SC2 ONLINE Community Open #137;Spy;eGGz;0;2;3;C;0
2020-03-29;Week. (C);SC2 ONLINE Community Open #137;Spy;Cham;2;0;3;C;1
2021-02-14;B-Tier;2zerg1cup;zesty;Spy;2;0;3;B;1
2021-02-13;Mon. (B);Alpha X Junior Championships 2021 Season 1 - Group B;SlyCrab;Spy;3;2;5;B;1
2021-02-13;Mon. (B);Alpha X Junior Championships 2021 Season 1 - Group B;PAPI;Spy;2;0;3;B;1
2021-02-13;Mon. (B);Alpha X Junior Championships 2021 Season 1 - Group B;SlyCrab;Spy;1;2;3;B;0
2021-01-31;Biw. (C);The Pizza Pie: Season 5 - Cup #2;goblin;Spy;2;0;3;C;1
2021-01-11;Week. (B);ESL Open Cup #53 Americas;Solar;Spy;2;0;3;B;1
2020-12-21;Week. (B);ESL Open Cup #50 Americas;PartinG;Spy;2;0;3;B;1
2020-11-30;Week. (B);ESL Open Cup #47 Americas;Zest;Spy;2;0;3;B;1
2020-11-26;Qual. (B);OSC 2020 Super Series, Mid Season Playoffs #3: eXoN Cup Open Qualifier;Vanya;Spy;2;0;3;B;1
