date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2021-06-18;B-Tier;Free TON Legend cup - Group A;Unix;Minatoeh;0;2;3;B;0
2021-06-18;B-Tier;Free TON Legend cup - Group A;Unix;Alex007;0;2;3;B;0
2020-11-29;Mon. (B);King of CIS: November 2020;Unix;SKillous;0;1;1;B;0
2020-11-14;Week. (C);REGENERATE Open Weekly Cup #98;Unix;Bly;0;2;3;C;0
2020-11-14;Week. (C);REGENERATE Open Weekly Cup #98;Unix;Exostriker;2;1;3;C;1
2021-06-18;B-Tier;Free TON Legend cup - Group A;Minatoeh;Unix;2;0;3;B;1
2021-06-18;B-Tier;Free TON Legend cup - Group A;Alex007;Unix;2;0;3;B;1
2020-11-29;Mon. (B);King of CIS: November 2020;SKillous;Unix;1;0;1;B;1
2020-11-14;Week. (C);REGENERATE Open Weekly Cup #98;Bly;Unix;2;0;3;C;1
2020-11-14;Week. (C);REGENERATE Open Weekly Cup #98;Exostriker;Unix;1;2;3;C;0
