date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-11;B-Tier;The 5.4k Patch Clash #11;Mixu;Faye;0;2;3;B;0
2026-01-08;A-Tier;OSC Championship Season 13 - Championship Bracket;Mixu;GgMaChine;2;3;5;A;0
2026-01-05;B-Tier;Patch Clash Invitational #1;Mixu;INexorable;0;2;3;B;0
2026-01-06;B-Tier;Patch Clash Invitational #1;Mixu;PiG;0;3;5;B;0
2026-01-05;B-Tier;Patch Clash Invitational #1;Mixu;Kinpach;3;2;5;B;1
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Mixu;Nice;3;1;5;A;1
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Mixu;LetaleX;2;0;3;A;1
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Mixu;NightPhoenix;1;0;1;A;1
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Mixu;MJG;1;0;1;A;1
2026-01-04;Qual. (A);OSC Champ S13 Challenger C;Mixu;ART;1;2;3;A;0
2026-01-03;B-Tier;The 5.4k Patch Clash #10;Mixu;FoxeR;0;1;1;B;0
2026-01-03;B-Tier;The 5.4k Patch Clash #10;Mixu;GgMaChine;1;2;3;B;0
2026-01-03;B-Tier;The 5.4k Patch Clash #10;Mixu;PiG;2;1;3;B;1
2026-01-03;B-Tier;The 5.4k Patch Clash #10;Mixu;Shameless;2;1;3;B;1
2025-12-13;B-Tier;StarCraft2.fi 15V. Cup - Final Stage;Mixu;PuPu;4;2;5;B;1
2025-12-13;B-Tier;StarCraft2.fi 15V. Cup - Final Stage;Mixu;Luolis;3;0;5;B;1
2025-12-13;B-Tier;StarCraft2.fi 15V. Cup - Final Stage;Mixu;Enpo;3;1;5;B;1
2025-12-12;Showm. (B);Basilisk Big Brain Bouts #101 - The Good One;Mixu;GgMaChine;0;3;5;B;0
2025-12-11;Biw. (B);Tenacious Turtle Tussle #37;Mixu;ByuN;0;2;3;B;0
2025-12-11;Biw. (B);Tenacious Turtle Tussle #37;Mixu;Nice;2;0;3;B;1
2025-12-09;B-Tier;StarCraft2.fi 15V. Cup - Group A;Mixu;Codebar;3;0;5;B;1
2025-12-07;B-Tier;The 5.4k Patch Clash #9;Mixu;FoxeR;2;1;3;B;1
2025-12-07;B-Tier;The 5.4k Patch Clash #9;Mixu;PiG;2;1;3;B;1
2025-12-07;B-Tier;The 5.4k Patch Clash #9;Mixu;Greenert;2;1;3;B;1
2025-12-07;B-Tier;The 5.4k Patch Clash #9;Mixu;Ponyo;2;0;3;B;1
2025-12-06;Biw. (B);Korean Starcraft League #83;Mixu;herO;0;2;3;B;0
2025-12-06;Biw. (B);Korean Starcraft League #83;Mixu;HonMonO;2;1;3;B;1
2025-12-03;B-Tier;StarCraft2.fi 15V. Cup - Group A;Mixu;WoodedMicrob;2;0;3;B;1
2025-12-03;B-Tier;StarCraft2.fi 15V. Cup - Group A;Mixu;Jutso;2;0;3;B;1
2025-12-03;B-Tier;StarCraft2.fi 15V. Cup - Group A;Mixu;CostPhoenix;2;0;3;B;1
2025-12-02;B-Tier;StarCraft2.fi 15V. Cup - Group A;Mixu;Alluton;0;2;3;B;0
2025-12-02;B-Tier;StarCraft2.fi 15V. Cup - Group A;Mixu;SacredCoconut;2;0;3;B;1
2025-12-02;B-Tier;StarCraft2.fi 15V. Cup - Group A;Mixu;Mirzo;1;2;3;B;0
2025-12-02;B-Tier;StarCraft2.fi 15V. Cup - Group A;Mixu;TheMusZero;2;1;3;B;1
2025-12-01;B-Tier;The 5.4k Patch Clash #8;Mixu;INexorable;0;3;5;B;0
2025-11-30;B-Tier;The 5.4k Patch Clash #8;Mixu;PiG;2;1;3;B;1
2025-11-30;B-Tier;The 5.4k Patch Clash #8;Mixu;Riegel;1;0;1;B;1
2025-11-30;B-Tier;The 5.4k Patch Clash #8;Mixu;BerryCruncH;1;0;1;B;1
2025-11-30;B-Tier;The 5.4k Patch Clash #8;Mixu;PiG;1;2;3;B;0
2025-11-30;B-Tier;The 5.4k Patch Clash #8;Mixu;Riegel;2;0;3;B;1
2025-11-26;Week. (B);OSC KotH Weekly #232;Mixu;Jumy;0;1;1;B;0
2025-11-26;Week. (B);OSC KotH Weekly #232;Mixu;LunaSea;1;0;1;B;1
