date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;nanO;0;2;3;A;0
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;Dastan;2;0;3;A;1
2020-10-18;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;Sinner;2;0;3;A;1
2020-10-16;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;TheZergLord;2;3;5;A;0
2020-10-16;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;Dastan;2;1;3;A;1
2020-10-16;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;Fate;2;0;3;A;1
2020-10-14;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;JimRising;1;3;5;A;0
2020-10-14;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;TheZergLord;2;0;3;A;1
2020-10-14;Qual. (A);DH SC2 Master 2020: Winter Latin America Qualifiers - Bracket;Darkness;Crown;2;1;3;A;1
2020-08-26;A-Tier;DH Masters Fall: LatAm - Group B;Darkness;JimRising;1;2;3;A;0
2020-08-26;A-Tier;DH Masters Fall: LatAm - Group B;Darkness;Erik;0;2;3;A;0
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;Darkness;TurkeyDano;2;1;3;A;1
2020-08-23;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;Darkness;DestroyerTT;2;0;3;A;1
2020-08-23;Mon. (B);NA Ladder Heroes July 2020;Darkness;Cham;1;2;3;B;0
2020-08-23;Mon. (B);NA Ladder Heroes July 2020;Darkness;Dolan;2;0;3;B;1
2020-08-19;Qual. (A);DH SC2 Masters 2020 Fall: Latin America Qualifiers - Bracket;Darkness;Ryu;3;1;5;A;1
2020-08-03;Week. (B);ESL Open Cup #30 Americas;Darkness;Nitix;0;2;3;B;0
2020-08-01;Week. (C);Battle of the Americas #25;Darkness;Vindicta;0;2;3;C;0
2020-07-31;Biw. (C);Sentimiento Latino #90;Darkness;JimRising;3;2;5;C;1
2020-07-31;Biw. (C);Sentimiento Latino #90;Darkness;eGGz;2;0;3;C;1
2020-08-01;Week. (C);Battle of the Americas #25;Darkness;NeosShaggy;2;0;3;C;1
2020-08-01;Week. (C);Battle of the Americas #25;Darkness;Dastan;2;0;3;C;1
2020-07-31;Biw. (C);Sentimiento Latino #90;Darkness;AreZ;2;0;3;C;1
2020-07-31;Biw. (C);Sentimiento Latino #90;Darkness;perhark;2;0;3;C;1
2020-07-27;Week. (B);ESL Open Cup #29 Americas;Darkness;Solar;1;2;3;B;0
2020-07-27;Week. (B);ESL Open Cup #29 Americas;Darkness;YanXII;2;0;3;B;1
2020-07-20;Week. (B);ESL Open Cup #28 Americas;Darkness;Astrea;0;2;3;B;0
