date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2026-01-15;A-Tier;OSC Championship Season 13 - Championship Bracket;Cure;Gerald;3;2;5;A;1
2026-01-13;B-Tier;WardiTV Cup - Group B;Cure;Solar;2;1;3;B;1
2026-01-13;B-Tier;WardiTV Cup - Group B;Cure;herO;0;2;3;B;0
2026-01-13;B-Tier;WardiTV Cup - Group B;Cure;Gerald;2;0;3;B;1
2026-01-13;Qual. (S);Rongyi Cup S3: Qualifier #3;Cure;ShoWTimE;1;2;3;S;0
2026-01-13;Qual. (S);Rongyi Cup S3: Qualifier #3;Cure;MaNa;2;0;3;S;1
2026-01-13;Qual. (S);Rongyi Cup S3: Qualifier #3;Cure;HeRoMaRinE;2;0;3;S;1
2026-01-12;Qual. (S);Rongyi Cup S3: Qualifier #2;Cure;Scarlett;0;2;3;S;0
2026-01-11;Qual. (S);Rongyi Cup S3: Qualifier #1;Cure;Shameless;1;2;3;S;0
2026-01-10;B-Tier;SOOP Invitational - Playoffs;Cure;Creator;0;3;5;B;0
2026-01-10;Qual. (B);WardiTV Winter Cup Qual;Cure;Shameless;0;2;3;B;0
2026-01-07;B-Tier;SOOP Invitational - Group Stage;Cure;Creator;2;0;3;B;1
2026-01-07;B-Tier;SOOP Invitational - Group Stage;Cure;GuMiho;2;1;3;B;1
2026-01-07;B-Tier;SOOP Invitational - Group Stage;Cure;SHIN;0;2;3;B;0
2026-01-06;Week. (B);PiGosaur Cup #63;Cure;herO;1;3;5;B;0
2026-01-06;A-Tier;OSC Championship Season 13 - Championship Bracket;Cure;ReBellioN;3;0;5;A;1
2026-01-06;Week. (B);PiGosaur Cup #63;Cure;MaxPax;2;0;3;B;1
2026-01-06;Week. (B);PiGosaur Cup #63;Cure;Nice;2;0;3;B;1
2026-01-05;Week. (B);WardiTV Mondays #68;Cure;herO;0;2;3;B;0
2026-01-05;Week. (B);WardiTV Mondays #68;Cure;Rex;2;1;3;B;1
2026-01-03;Mon. (B);Korean Starcraft League #84;Cure;GuMiho;1;2;3;B;0
2026-01-03;Mon. (B);Korean Starcraft League #84;Cure;RaGnaR;2;0;3;B;1
2025-12-29;Week. (B);WardiTV Mondays #67;Cure;MaxPax;0;2;3;B;0
2025-12-25;B-Tier;WardiTV Christmas Day Games 2025;Cure;herO;1;3;5;B;0
2025-12-22;Week. (B);WardiTV Mondays #66;Cure;Classic;0;2;3;B;0
2025-12-22;Week. (B);WardiTV Mondays #66;Cure;Percival;2;0;3;B;1
2025-12-20;A-Tier;WardiTV 2025 - Championship Bracket;Cure;Reynor;1;3;5;A;0
2025-12-20;A-Tier;WardiTV 2025 - Championship Bracket;Cure;Spirit;3;2;5;A;1
2025-12-19;A-Tier;WardiTV 2025 - Championship Bracket;Cure;ShoWTimE;3;1;5;A;1
2025-12-18;A-Tier;WardiTV 2025 - Championship Bracket;Cure;Solar;0;3;5;A;0
2025-12-18;A-Tier;WardiTV 2025 - Championship Bracket;Cure;Creator;3;2;5;A;1
2025-12-16;Week. (B);PiGosaur Cup #62;Cure;Clem;0;3;5;B;0
2025-12-16;Week. (B);PiGosaur Cup #62;Cure;Nice;2;0;3;B;1
2025-12-16;Week. (B);PiGosaur Cup #62;Cure;Nicoract;2;0;3;B;1
2025-12-15;Week. (B);WardiTV Mondays #65;Cure;Rogue;1;2;3;B;0
2025-12-15;Week. (B);WardiTV Mondays #65;Cure;Harstem;2;0;3;B;1
2025-12-13;A-Tier;RSL Offline Finals - Open Bracket Stage;Cure;SHIN;0;3;5;A;0
2025-12-13;A-Tier;RSL Offline Finals - Open Bracket Stage;Cure;Gerald;3;0;5;A;1
2025-12-09;Week. (B);PiGosaur Cup #61;Cure;Solar;3;1;5;B;1
